Property,Sqft,Askingprice
The Aston at University Place,540,1059
The Aston at University Place,546,1069
The Aston at University Place,752,1104
The Aston at University Place,770,1179
ICO Monteval,709,1059
ICO Monteval,713,1069
ICO Monteval,722,1089
ICO Monteval,766,1119
Midtown 360,668,1017
Midtown 360,967,1102
Parkway Lofts,607,910
Parkway Lofts,741,967
Parkway Lofts,854,1022
Parkway Lofts,889,1140
Concord at Geneva,869,1109
Concord at Geneva,880,1179
Concord at Geneva,930,1170
Concord at Geneva,943,1230
Canyon View Crossing,751,1009
Canyon View Crossing,761,1050
Canyon View Crossing,788,1060
Canyon View Crossing,904,1131
Canyon View Crossing,960,1220
Canyon View Crossing,966,1131
The Alloy at Geneva,729,1132
The Parc On Center,746,1115
The Vine Apartments,804,1052
